dataset,model,macro_f1_mean,macro_f1_std,macro_f1_present_mean,macro_f1_present_std,balanced_accuracy_mean,balanced_accuracy_std,accuracy_mean,accuracy_std,n_folds,per_fold,seconds
KIMORE_clf_bn_LA,majority,0.6067,0.3228,0.6067,0.3228,0.7000,0.2449,0.7190,0.2421,5,0.3000 1.0000 0.4000 0.3333 1.0000,197.6
KIMORE_clf_bn_LA,rf_flatten,0.6067,0.3228,0.6067,0.3228,0.7000,0.2449,0.7190,0.2421,5,0.3000 1.0000 0.4000 0.3333 1.0000,2.4
KIMORE_clf_bn_LA,rf_summary,0.6067,0.3228,0.6067,0.3228,0.7000,0.2449,0.7190,0.2421,5,0.3000 1.0000 0.4000 0.3333 1.0000,2.4
KIMORE_clf_bn_LA,minirocket,0.6097,0.2216,0.7006,0.2323,0.7167,0.1944,0.7429,0.1673,5,0.7083 0.4545 0.4000 0.4857 1.0000,4.5
KIMORE_clf_bn_LA,litemv,0.4733,0.2653,0.5400,0.2636,0.6000,0.2000,0.6190,0.2059,5,0.3000 0.3333 0.4000 0.3333 1.0000,5717.2
KIMORE_clf_bn_LT,majority,0.2886,0.0740,0.2886,0.0740,0.5000,0.0000,0.4190,0.1292,5,0.3000 0.3333 0.3333 0.1429 0.3333,205.5
KIMORE_clf_bn_LT,rf_flatten,0.3516,0.2251,0.3516,0.2251,0.4667,0.1944,0.3905,0.2297,5,0.2222 0.6250 0.1429 0.1429 0.6250,2.3
KIMORE_clf_bn_LT,rf_summary,0.4571,0.1580,0.4571,0.1580,0.5733,0.1389,0.5190,0.1316,5,0.3000 0.6250 0.2500 0.4857 0.6250,2.3
KIMORE_clf_bn_LT,minirocket,0.4202,0.2268,0.4202,0.2268,0.4350,0.2140,0.4762,0.2048,5,0.7083 0.6667 0.1429 0.3333 0.2500,4.2
KIMORE_clf_bn_LT,litemv,0.6821,0.2067,0.6821,0.2067,0.7600,0.1306,0.7190,0.1589,5,0.3000 0.8286 0.8286 0.6250 0.8286,7203.5
KIMORE_clf_bn_PR,majority,0.2369,0.0896,0.2369,0.0896,0.5000,0.0000,0.3286,0.1546,5,0.1250 0.3333 0.1429 0.2500 0.3333,214.6
KIMORE_clf_bn_PR,rf_flatten,0.6324,0.2711,0.6324,0.2711,0.6900,0.2687,0.6524,0.2473,5,0.4167 0.8286 0.2500 0.6667 1.0000,3.8
KIMORE_clf_bn_PR,rf_summary,0.6324,0.2711,0.6324,0.2711,0.6900,0.2687,0.6524,0.2473,5,0.4167 0.8286 0.2500 0.6667 1.0000,3.9
KIMORE_clf_bn_PR,minirocket,0.6779,0.1088,0.6779,0.1088,0.7550,0.1019,0.7143,0.1032,5,0.5333 0.8286 0.7778 0.6250 0.6250,5.2
KIMORE_clf_bn_Sq,majority,0.3620,0.0798,0.3620,0.0798,0.5000,0.0000,0.5905,0.1853,5,0.2222 0.4545 0.4000 0.4000 0.3333,0.8
KIMORE_clf_bn_Sq,rf_flatten,0.4070,0.1337,0.4070,0.1337,0.5083,0.0928,0.5905,0.1853,5,0.2222 0.4545 0.3333 0.4000 0.6250,3.1
KIMORE_clf_bn_Sq,rf_summary,0.3689,0.1712,0.3689,0.1712,0.4583,0.1787,0.5238,0.2533,5,0.2222 0.4545 0.1429 0.4000 0.6250,3.1
KIMORE_clf_bn_Sq,minirocket,0.7028,0.0684,0.7028,0.0684,0.7483,0.0975,0.7429,0.0759,5,0.7083 0.7778 0.7778 0.6250 0.6250,3.0
KIMORE_clf_bn_Sq,litemv,0.5917,0.2849,0.5917,0.2849,0.6583,0.2147,0.6238,0.2778,5,0.2222 1.0000 0.3333 0.7778 0.6250,7365.5
KIMORE_clf_bn_TR,majority,0.4650,0.2879,0.4650,0.2879,0.6000,0.2000,0.6286,0.2750,5,0.1250 0.4000 0.4000 0.4000 1.0000,180.0
KIMORE_clf_bn_TR,rf_flatten,0.5272,0.3168,0.5272,0.3168,0.6250,0.2236,0.6286,0.2945,5,0.1250 0.3333 0.4000 0.7778 1.0000,2.3
KIMORE_clf_bn_TR,rf_summary,0.5829,0.2791,0.5829,0.2791,0.6917,0.2068,0.6905,0.2371,5,0.2857 0.8286 0.4000 0.4000 1.0000,2.4
KIMORE_clf_bn_TR,minirocket,0.6606,0.3461,0.7406,0.3220,0.7833,0.1944,0.7286,0.3179,5,0.1250 1.0000 0.7778 1.0000 0.4000,4.5
KERAAL_clf_mc_CTK,majority,0.3010,0.1444,0.3010,0.1444,0.4444,0.0786,0.5375,0.2733,6,0.2222 0.0889 0.1765 0.4167 0.4615 0.4400,2.0
KERAAL_clf_mc_CTK,rf_flatten,0.4922,0.2356,0.4922,0.2356,0.5931,0.1681,0.6593,0.2637,6,0.6444 0.2083 0.1765 0.7754 0.7083 0.4400,4.8
KERAAL_clf_mc_CTK,rf_summary,0.4290,0.1937,0.4290,0.1937,0.5204,0.1328,0.6236,0.2344,6,0.5412 0.2222 0.1765 0.7544 0.4400 0.4400,4.5
KERAAL_clf_mc_CTK,minirocket,0.4280,0.1911,0.4625,0.1891,0.5233,0.1686,0.6355,0.2736,6,0.4615 0.3434 0.1068 0.7544 0.4615 0.4400,4.8
